rank,title,year,rating
1,Reins of Hope Movie,(2016),10
2,All She Wrote,(I) (2016),10
3,The Parricidal Effect,(2016),10
4,Still Waters,(II) (2016),10
5,Loud Places,(2016),10
6,Who Will Move the Stone,(2016),10
7,Second Life,(2016),10
8,Anywhere But Here,(I) (2016),10
9,In the Park,(2015),10
10,Temuan Takdir,(2016),10
11,Lacrimosa,(2014),10
12,Codename: Watermelon,(2016),10
13,Captives,(2015),10
14,makrina monopatia,(2016),10
15,Last Call,(VI) (2016),10
16,L'aquilone di Claudio,(2016),10
17,Uno: The Movie,(2016),9.9
18,Dag II,(2016),9.9
19,Midnighters,(2016),9.9
20,Garroter,(2016),9.9
21,Regrets of the Past,(2016),9.9
22,Luces,(2016),9.9
23,The Best Thanksgiving Ever,(2016),9.8
24,Beneath the Old Dark House,(2015),9.8
25,The 12 Slays of Christmas,(2016),9.8
26,Eradication Code 6,(2016),9.8
27,Sizzler '77,(2015),9.8
28,Death Beach,(2016),9.8
29,Spin the Plate,(2016),9.8
30,Bestie!,(2013),9.8
31,Defenders of Life,(2015),9.8
32,Walk a Mile,(2011),9.8
33,Circa Survive: Live at the Shrine,(2014),9.8
34,Brente popcorn,(2010),9.8
35,Till We Meet Again,(2015),9.7
36,Gold Star,(I) (2016),9.7
37,Empty Space,(II) (2016),9.7
38,Apocalypse Will Not Happen,(2015),9.7
39,Get Rich Free,(2016),9.7
40,Love & Taxes,(2015),9.7
41,Blue Line Station,(2016),9.7
42,The Breakout: A Rock Opera,(2016),9.7
43,Vidas Em Paralelo,(2010),9.7
44,Joanna Gone Girl,(2007),9.7
45,Definio,(2010),9.7
